Week,Date,year,region,AveragePrice Conventional,Total Volume Conventional,AveragePrice Organic,Total Volume Organic
25,7/3/2016,2016,DallasFtWorth,0.89,1350870.14,0.99,32844.7
24,7/10/2016,2016,DallasFtWorth,0.91,1080238.02,1.04,17788.81
23,7/17/2016,2016,DallasFtWorth,0.96,1070350.11,1.05,27581.91
22,7/24/2016,2016,DallasFtWorth,0.94,1188812.12,0.99,35564.65
21,7/31/2016,2016,DallasFtWorth,0.88,1163785.11,1.03,38209.32
20,8/7/2016,2016,DallasFtWorth,0.83,1244080.92,1.12,32688.03
19,8/14/2016,2016,DallasFtWorth,0.88,1132112.24,0.86,90500.74
18,8/21/2016,2016,DallasFtWorth,0.77,1215161.52,0.86,74326.53
17,8/28/2016,2016,DallasFtWorth,0.74,1260685.59,1.02,34300.17
16,9/4/2016,2016,DallasFtWorth,0.74,1390891.44,1.05,30716.5
15,9/11/2016,2016,DallasFtWorth,0.79,1308970.15,1.16,26658.47
14,9/18/2016,2016,DallasFtWorth,0.8,1382358,1.31,18329.37
13,9/25/2016,2016,DallasFtWorth,0.92,1150789.41,1.35,19980.31
12,10/2/2016,2016,DallasFtWorth,0.95,1033290.02,1.42,20696.52
11,10/9/2016,2016,DallasFtWorth,0.93,1162334.53,1.25,28837.82
10,10/16/2016,2016,DallasFtWorth,0.99,1021028.79,1.27,20504.41
9,10/23/2016,2016,DallasFtWorth,1.08,993986.41,1.37,20091.09
8,10/30/2016,2016,DallasFtWorth,1.14,801081.72,1.34,17098.36
7,11/6/2016,2016,DallasFtWorth,1.14,894904.55,1.36,25468.3
6,11/13/2016,2016,DallasFtWorth,1.08,894000.36,1.32,25020.67
5,11/20/2016,2016,DallasFtWorth,1,910226.05,1.37,19634.24
4,11/27/2016,2016,DallasFtWorth,0.9,851579.21,1.34,21312.8
3,12/4/2016,2016,DallasFtWorth,0.69,1245471.58,1.25,21047.85
2,12/11/2016,2016,DallasFtWorth,0.69,1121306.38,1.14,20619.42
1,12/18/2016,2016,DallasFtWorth,0.69,1148251,1.11,21071.85
0,12/25/2016,2016,DallasFtWorth,0.76,1199636.75,1.12,20099.08
52,1/1/2017,2017,DallasFtWorth,0.68,1336539.2,1.06,15669.84
51,1/8/2017,2017,DallasFtWorth,0.78,1247488.6,1.02,24031.65
50,1/15/2017,2017,DallasFtWorth,0.7,1389716.89,1.04,19472.79
49,1/22/2017,2017,DallasFtWorth,0.7,1382964.89,1.03,29547.04
48,1/29/2017,2017,DallasFtWorth,0.73,1306293.11,1.16,23208.81
47,2/5/2017,2017,DallasFtWorth,0.65,1772501.55,1.3,17169.39
46,2/12/2017,2017,DallasFtWorth,0.7,1422345.94,1.35,16249.95
45,2/19/2017,2017,DallasFtWorth,0.76,1177312.94,1.17,20393.29
44,2/26/2017,2017,DallasFtWorth,0.73,1372811.19,1.05,28944.94
43,3/5/2017,2017,DallasFtWorth,0.93,1105083.35,1.04,26417.4
42,3/12/2017,2017,DallasFtWorth,0.9,1170640.71,1.11,25049.48
41,3/19/2017,2017,DallasFtWorth,0.94,1153699.28,1.1,26679.37
40,3/26/2017,2017,DallasFtWorth,0.91,1282796.85,1.14,29627.87
39,4/2/2017,2017,DallasFtWorth,0.83,1372247.8,1.41,23747.19
38,4/9/2017,2017,DallasFtWorth,0.9,1337046.52,1.24,26121.58
37,4/16/2017,2017,DallasFtWorth,0.87,1517178.55,1.12,33122.75
36,4/23/2017,2017,DallasFtWorth,0.85,1496361.87,1.34,21958.14
35,4/30/2017,2017,DallasFtWorth,0.9,1407490.7,1.28,27768.13
34,5/7/2017,2017,DallasFtWorth,0.89,1473846.78,1.35,26262.54
33,5/14/2017,2017,DallasFtWorth,0.95,1292071.56,1.45,28735.11
32,5/21/2017,2017,DallasFtWorth,0.91,1291606.06,1.46,28683.15
31,5/28/2017,2017,DallasFtWorth,0.93,1386906.1,1.13,42244.7
30,6/4/2017,2017,DallasFtWorth,0.93,1325912.38,1.08,42392.08
29,6/11/2017,2017,DallasFtWorth,0.9,1361774.87,1.35,28393.54
28,6/18/2017,2017,DallasFtWorth,0.9,1441940.59,1.44,26885.4
27,6/25/2017,2017,DallasFtWorth,0.89,1327166.18,1.33,24915.38
26,7/2/2017,2017,DallasFtWorth,0.9,1378563.61,1.02,32953.66
25,7/9/2017,2017,DallasFtWorth,0.84,1514500,1.06,39591.12
24,7/16/2017,2017,DallasFtWorth,0.98,1219892.61,1.49,24811.57
23,7/23/2017,2017,DallasFtWorth,0.99,1197803.17,1.57,21376.74
22,7/30/2017,2017,DallasFtWorth,1.03,1154233.85,1.62,20300
21,8/6/2017,2017,DallasFtWorth,0.98,1253537.5,1.63,21766.05
20,8/13/2017,2017,DallasFtWorth,1,1263766.23,1.68,18826.43
19,8/20/2017,2017,DallasFtWorth,0.99,1163466.68,1.8,21150.35
18,8/27/2017,2017,DallasFtWorth,1.13,1090966.44,1.9,20709.86
17,9/3/2017,2017,DallasFtWorth,1.23,1043009.46,1.81,23372.37
16,9/10/2017,2017,DallasFtWorth,1.2,997274.92,1.81,24831.19
15,9/17/2017,2017,DallasFtWorth,1.24,982833.04,1.79,20021.49
14,9/24/2017,2017,DallasFtWorth,1.29,946384.19,1.68,21508.67
13,10/1/2017,2017,DallasFtWorth,1.3,893387.5,1.7,21220.62
12,10/8/2017,2017,DallasFtWorth,1.29,919708.71,1.73,19807.92
11,10/15/2017,2017,DallasFtWorth,1.28,884631.4,1.71,21260.97
10,10/22/2017,2017,DallasFtWorth,1.1,1037930.19,1.69,19214.84
9,10/29/2017,2017,DallasFtWorth,1.05,1071345.81,1.67,20558.95
8,11/5/2017,2017,DallasFtWorth,0.96,1142499.74,1.64,18268.65
7,11/12/2017,2017,DallasFtWorth,0.96,1054327,1.7,20245.58
6,11/19/2017,2017,DallasFtWorth,0.94,958421,1.63,21044.41
5,11/26/2017,2017,DallasFtWorth,0.95,898548,1.65,15521.5
4,12/3/2017,2017,DallasFtWorth,0.85,1199422,1.66,18538.92
3,12/10/2017,2017,DallasFtWorth,0.75,1288280.85,1.53,16639.95
2,12/17/2017,2017,DallasFtWorth,0.83,1084068.05,1.41,20247.87
1,12/24/2017,2017,DallasFtWorth,0.99,1060456.59,1.44,24924.27
0,12/31/2017,2017,DallasFtWorth,0.9,1116393.2,1.48,21181.05
11,1/7/2018,2018,DallasFtWorth,0.92,1140210.38,1.45,21286.58
10,1/14/2018,2018,DallasFtWorth,0.93,1333180.68,1.54,25628.61
9,1/21/2018,2018,DallasFtWorth,0.85,1437239.09,1.5,24032.87
8,1/28/2018,2018,DallasFtWorth,0.82,1433095.36,1.45,26069.14
7,2/4/2018,2018,DallasFtWorth,0.67,1885401.44,1.37,28070.22
6,2/11/2018,2018,DallasFtWorth,0.72,1553404.16,1.34,28078.4
5,2/18/2018,2018,DallasFtWorth,0.77,1421970.53,1.36,25380.68
4,2/25/2018,2018,DallasFtWorth,0.74,1616898.5,1.34,23520.36
3,3/4/2018,2018,DallasFtWorth,0.77,1501141.58,1.38,28406.76
2,3/11/2018,2018,DallasFtWorth,0.87,1356159.96,1.3,34357.21
1,3/18/2018,2018,DallasFtWorth,0.87,1362250.25,1.32,31122.09
0,3/25/2018,2018,DallasFtWorth,0.73,1803351.21,1.46,31489.27
